HouseID,Area_sqft,Bedrooms,Bathrooms,Floors,Age_of_House,Garage,Location_Score,Distance_to_City,School_Rating,Crime_Rate,Price
1,3674,2,1,1,21,0,4,20,6,3.15,9315074
2,1360,1,2,1,10,0,10,22,4,9.34,3327039
3,1794,2,1,2,17,0,3,4,3,0.73,6236814
4,1630,1,1,2,3,1,3,11,9,7.12,4512496
5,1595,4,2,1,2,1,1,17,10,7.39,3916278
6,3592,4,2,2,12,1,3,7,2,8.45,11023983
7,2138,5,4,1,22,0,4,14,1,9.76,5946900
8,2669,2,1,1,8,0,5,26,2,9.77,4753959
9,966,5,3,1,20,1,3,11,7,1.12,4160027
10,1738,2,2,1,5,1,6,28,10,8.31,4820752
11,830,5,4,2,25,0,5,22,1,6.64,710262
12,1982,3,3,1,29,0,3,9,6,6.65,4391322
13,2635,3,1,1,27,1,6,23,7,1.72,7872875
14,3944,3,4,2,11,0,6,13,9,6.68,12689535
15,3671,3,2,1,1,0,8,23,8,9.83,11075713
16,3419,1,3,1,2,1,2,18,6,9.16,9012115
17,630,3,2,1,2,0,1,28,3,4.67,-111454
18,2185,4,1,2,27,1,4,11,8,0.88,5845513
19,3880,4,3,1,11,0,7,15,7,3.94,12534985
20,1269,1,1,2,14,1,10,25,3,8.35,3333913
21,2891,3,1,1,8,0,3,26,9,7.16,7043872
22,2015,3,4,1,22,1,3,25,2,4.86,3684792
23,3985,3,2,2,7,1,5,22,3,1.02,12319832
24,3353,5,3,1,10,1,5,29,2,4.56,9705039
25,2933,2,1,1,15,1,10,19,1,4.96,8212047
26,1715,5,1,2,25,0,3,1,4,9.32,4412617
27,1455,2,3,2,26,0,9,4,5,6.59,4958451
28,2824,3,1,2,24,1,4,14,6,3.46,7995225
29,1684,3,4,2,21,0,3,14,5,5.49,4898564
30,959,5,4,2,3,0,2,3,1,1.13,5616121
31,3885,5,4,1,27,0,10,28,3,9.74,9509418
32,521,2,4,2,0,0,9,17,1,3.92,2969877
33,2800,4,1,1,23,0,4,3,5,5.04,8576629
34,1247,2,3,1,6,1,3,16,5,3.88,4513100
35,3404,5,3,1,1,1,7,14,6,6.98,12037177
36,974,5,3,2,23,1,8,20,8,6.79,3284078
37,1582,1,3,2,27,1,2,29,10,7.3,2821011
38,3058,5,2,1,4,0,7,13,1,3.05,9959422
39,2547,1,3,2,6,0,5,15,4,3.5,7258849
40,3247,4,2,2,3,1,5,14,10,1.69,12072931
41,1475,2,2,2,4,0,3,24,1,6.73,2233335
42,2306,2,4,2,23,0,5,25,9,0.88,6937186
43,689,1,2,1,0,1,2,19,7,6.18,1585373
44,3505,2,1,1,0,0,4,6,7,8.76,9666279
45,3234,5,2,2,14,1,6,10,5,8.96,9800808
46,3505,3,4,1,19,1,1,27,7,4.77,9326919
47,1062,1,2,2,18,0,10,15,2,4.86,2693999
48,2399,2,1,2,28,0,4,21,4,1.23,4409133
49,1767,1,1,1,9,1,6,22,7,6.87,5240875
50,3379,1,1,1,27,1,9,20,3,8.3,8606687
51,2028,3,4,1,17,0,2,26,2,2.82,4752869
52,3702,5,4,2,27,1,7,6,10,4.5,12674361
53,1146,1,3,1,2,1,6,23,2,8.47,2713244
54,2568,2,4,2,10,1,2,25,1,8.83,6526910
55,3388,4,1,1,14,0,8,10,5,2.81,10864963
56,2714,1,1,1,26,1,7,7,6,5.73,8836006
57,1797,1,4,2,29,0,5,22,6,2.33,4450782
58,2935,3,2,2,10,1,5,17,9,1.47,9419783
59,1100,5,4,2,16,0,7,18,4,9.16,4132195
60,2863,4,4,2,16,1,9,17,1,8.29,8771320
61,2561,2,1,2,5,0,9,9,6,7.72,8783239
62,741,4,3,2,4,0,9,10,5,0.96,4414323
63,2541,2,1,2,7,0,6,10,10,8.52,7626836
64,3324,5,3,2,1,1,10,25,6,4.66,11526906
65,3917,2,1,1,15,1,6,7,3,3.75,12909231
66,3112,3,4,2,19,1,3,16,2,5.69,8327670
67,3445,3,1,2,23,0,1,29,6,1.37,8296124
68,1863,3,1,1,11,1,7,18,1,7.69,5553664
69,2639,3,1,2,5,0,4,6,7,6.03,8442336
70,1890,4,4,1,0,1,1,27,7,2.27,6094638
71,3503,5,4,1,3,0,8,20,10,2.29,13094175
72,1978,2,4,2,16,0,6,1,7,2.25,7538109
73,3999,2,4,1,12,0,6,1,10,1.04,14595918
74,3056,3,3,2,17,1,2,12,1,6.08,8556551
75,1275,3,3,1,4,1,1,21,4,8.48,2432542
76,534,1,2,1,29,1,2,28,7,0.67,169382
77,2753,5,4,1,23,0,4,2,9,0.97,9930006
78,3652,4,3,2,23,0,2,4,5,5.94,10467456
79,2455,2,1,2,26,1,1,17,2,8.29,3917979
80,2085,1,4,1,2,1,7,4,7,3.6,8193268
81,3959,1,2,1,10,1,8,11,10,3.82,12906248
82,3573,2,2,2,12,0,6,22,1,6.17,9133063
83,1521,4,2,2,3,0,4,26,7,3.11,4832496
84,3961,1,1,1,25,0,6,4,6,0.75,11487662
85,3113,1,3,1,26,0,3,1,7,7.48,7879664
86,1629,5,1,2,13,0,8,7,10,6.44,6126460
87,2000,4,4,2,21,1,10,18,3,6.02,6647615
88,1202,1,2,2,10,0,2,9,3,7.55,2617932
89,2949,4,1,2,26,0,5,29,7,6.91,6497968
